Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,GOAP,52.063000,1314.000000,36.000000,555.000000,20/4/2017 - 19:39:17,6,10,4,6,1570.000000,36.000000,570.000000,20/4/2017 - 19:39:9,6,5,7,7,20/4/2017 - 19:39:17
2,MCTS,18.698000,722.000000,22.000000,370.000000,20/4/2017 - 19:39:28,6,1,1,1,1335.000000,42.000000,443.000000,20/4/2017 - 19:39:36,6,3,0,0,20/4/2017 - 19:39:36
3,MCTS,95.442001,1604.000000,36.000000,878.000000,20/4/2017 - 19:40:32,10,20,8,14,5502.000000,72.000000,1175.000000,20/4/2017 - 19:41:14,6,21,8,31,20/4/2017 - 19:41:14
4,MCTS,137.787994,2232.000000,46.000000,1042.000000,20/4/2017 - 19:42:15,16,33,8,24,5835.000000,74.000000,1088.000000,20/4/2017 - 19:43:3,7,28,12,52,20/4/2017 - 19:43:35
5,MCTS,104.402000,1771.000000,56.000000,940.000000,20/4/2017 - 19:44:18,12,21,9,23,5721.000000,74.000000,1086.000000,20/4/2017 - 19:45:22,7,20,10,28,20/4/2017 - 19:45:22
6,GOAP,38.599998,1661.000000,58.000000,793.000000,20/4/2017 - 19:46:2,6,10,1,5,1513.000000,32.000000,710.000000,20/4/2017 - 19:45:55,6,5,4,9,20/4/2017 - 19:46:2
7,MCTS,95.494003,1729.000000,54.000000,946.000000,20/4/2017 - 19:46:51,10,14,12,26,3545.000000,72.000000,1004.000000,20/4/2017 - 19:47:40,6,19,10,34,20/4/2017 - 19:47:40
8,MCTS,75.899002,892.000000,30.000000,470.000000,20/4/2017 - 19:48:53,12,11,8,2,6586.000000,76.000000,690.000000,20/4/2017 - 19:48:58,6,14,8,6,20/4/2017 - 19:48:58
9,GOAP,43.674000,1454.000000,54.000000,735.000000,20/4/2017 - 19:49:33,6,10,2,10,1463.000000,42.000000,730.000000,20/4/2017 - 19:49:19,6,9,2,15,20/4/2017 - 19:49:43
10,MCTS,70.564003,1620.000000,40.000000,815.000000,20/4/2017 - 19:50:7,7,12,8,20,3894.000000,52.000000,943.000000,20/4/2017 - 19:50:54,6,11,9,15,20/4/2017 - 19:50:56
11,MCTS,102.142998,3988.000000,50.000000,921.000000,20/4/2017 - 19:52:7,8,21,10,36,2424.000000,76.000000,857.000000,20/4/2017 - 19:52:41,11,21,9,23,20/4/2017 - 19:52:41
12,GOAP,49.842999,1147.000000,34.000000,510.000000,20/4/2017 - 19:53:31,6,10,4,3,2174.000000,42.000000,690.000000,20/4/2017 - 19:53:27,6,5,7,12,20/4/2017 - 19:53:32
13,GOAP,41.750000,2776.000000,48.000000,726.000000,20/4/2017 - 19:54:15,6,10,2,4,1156.000000,32.000000,620.000000,20/4/2017 - 19:54:6,6,5,5,16,20/4/2017 - 19:54:15
14,MCTS,75.845001,737.000000,34.000000,370.000000,20/4/2017 - 19:54:26,12,11,8,1,2713.000000,76.000000,537.000000,20/4/2017 - 19:55:33,6,12,8,21,20/4/2017 - 19:55:33
15,MCTS,91.912003,1381.000000,46.000000,728.000000,20/4/2017 - 19:56:15,12,19,7,12,5750.000000,66.000000,1125.000000,20/4/2017 - 19:56:52,6,19,9,23,20/4/2017 - 19:57:7
16,MCTS,63.308998,1567.000000,34.000000,850.000000,20/4/2017 - 19:57:43,6,9,8,10,4173.000000,62.000000,971.000000,20/4/2017 - 19:58:12,6,10,7,24,20/4/2017 - 19:58:12
17,GOAP,39.637001,1310.000000,52.000000,639.000000,20/4/2017 - 19:58:52,6,10,1,5,1327.000000,42.000000,625.000000,20/4/2017 - 19:58:30,6,5,4,8,20/4/2017 - 19:58:53
18,GOAP,208.738998,2836.000000,58.000000,1175.000000,20/4/2017 - 20:1:14,17,47,18,63,2948.000000,52.000000,1090.000000,20/4/2017 - 20:1:31,18,46,18,60,20/4/2017 - 20:2:27
19,MCTS,62.268002,907.000000,32.000000,440.000000,20/4/2017 - 20:3:4,6,10,7,2,3466.000000,60.000000,814.000000,20/4/2017 - 20:3:31,6,9,8,18,20/4/2017 - 20:3:31
20,GOAP,33.331001,1553.000000,48.000000,700.000000,20/4/2017 - 20:3:57,6,7,1,4,1057.000000,34.000000,565.000000,20/4/2017 - 20:4:0,6,5,2,9,20/4/2017 - 20:4:6
21,MCTS,54.027000,761.000000,30.000000,370.000000,20/4/2017 - 20:4:21,7,10,5,0,2977.000000,46.000000,670.000000,20/4/2017 - 20:5:1,6,6,8,8,20/4/2017 - 20:5:1
22,GOAP,49.630001,1079.000000,44.000000,500.000000,20/4/2017 - 20:5:41,6,10,4,4,1050.000000,40.000000,480.000000,20/4/2017 - 20:5:19,6,5,7,3,20/4/2017 - 20:5:52
23,MCTS,189.464005,3942.000000,54.000000,991.000000,20/4/2017 - 20:7:23,12,42,18,65,2188.000000,60.000000,942.000000,20/4/2017 - 20:7:39,14,37,21,62,20/4/2017 - 20:9:7
24,GOAP,47.694000,797.000000,30.000000,371.000000,20/4/2017 - 20:9:54,6,10,3,1,2314.000000,42.000000,455.000000,20/4/2017 - 20:9:41,6,5,6,3,20/4/2017 - 20:9:56
25,GOAP,30.757999,1531.000000,58.000000,681.000000,20/4/2017 - 20:10:27,6,7,1,3,1052.000000,32.000000,490.000000,20/4/2017 - 20:10:13,6,5,2,5,20/4/2017 - 20:10:27
26,MCTS,36.036999,1626.000000,22.000000,385.000000,20/4/2017 - 20:10:51,6,1,4,0,726.000000,50.000000,320.000000,20/4/2017 - 20:10:59,6,7,2,0,20/4/2017 - 20:11:4
27,MCTS,76.213997,1661.000000,36.000000,880.000000,20/4/2017 - 20:12:2,9,13,8,21,3354.000000,84.000000,1050.000000,20/4/2017 - 20:12:23,6,14,8,27,20/4/2017 - 20:12:23
28,MCTS,32.487000,729.000000,30.000000,370.000000,20/4/2017 - 20:12:41,6,6,2,0,2670.000000,52.000000,480.000000,20/4/2017 - 20:12:56,6,5,0,0,20/4/2017 - 20:12:56
29,GOAP,104.591003,3862.000000,46.000000,601.000000,20/4/2017 - 20:14:44,12,20,10,4,2497.000000,52.000000,715.000000,20/4/2017 - 20:13:44,9,20,11,5,20/4/2017 - 20:14:44
30,MCTS,112.549004,1809.000000,46.000000,936.000000,20/4/2017 - 20:15:41,11,25,9,28,3465.000000,82.000000,1107.000000,20/4/2017 - 20:16:39,9,25,9,39,20/4/2017 - 20:16:39
31,GOAP,86.427002,1428.000000,44.000000,531.000000,20/4/2017 - 20:17:36,10,17,8,9,1492.000000,42.000000,550.000000,20/4/2017 - 20:17:5,8,15,10,17,20/4/2017 - 20:18:8
32,MCTS,76.139999,1039.000000,44.000000,460.000000,20/4/2017 - 20:18:34,11,11,9,7,3741.000000,56.000000,715.000000,20/4/2017 - 20:19:27,6,15,8,28,20/4/2017 - 20:19:27
33,MCTS,79.186996,749.000000,34.000000,370.000000,20/4/2017 - 20:19:51,12,11,9,3,6792.000000,54.000000,498.000000,20/4/2017 - 20:20:48,6,14,9,0,20/4/2017 - 20:20:48
34,MCTS,31.208000,732.000000,30.000000,370.000000,20/4/2017 - 20:20:58,6,6,1,0,2165.000000,50.000000,470.000000,20/4/2017 - 20:21:17,6,5,0,0,20/4/2017 - 20:21:20
35,MCTS,191.242004,3777.000000,50.000000,914.000000,20/4/2017 - 20:23:23,14,33,24,47,3278.000000,60.000000,925.000000,20/4/2017 - 20:24:37,14,32,24,50,20/4/2017 - 20:24:37
36,MCTS,50.792999,882.000000,32.000000,435.000000,20/4/2017 - 20:25:4,6,10,4,2,2552.000000,52.000000,831.000000,20/4/2017 - 20:25:27,7,8,2,32,20/4/2017 - 20:25:29
37,GOAP,63.605000,4750.000000,54.000000,1040.000000,20/4/2017 - 20:26:34,6,11,7,12,1477.000000,52.000000,774.000000,20/4/2017 - 20:25:56,6,10,8,24,20/4/2017 - 20:26:34
38,GOAP,37.486000,763.000000,44.000000,370.000000,20/4/2017 - 20:27:12,6,8,2,0,2282.000000,42.000000,475.000000,20/4/2017 - 20:27:3,6,5,2,0,20/4/2017 - 20:27:13
39,MCTS,71.987000,2108.000000,46.000000,564.000000,20/4/2017 - 20:27:56,9,11,8,26,2042.000000,54.000000,753.000000,20/4/2017 - 20:28:27,6,13,8,12,20/4/2017 - 20:28:27
40,GOAP,39.674000,1113.000000,54.000000,505.000000,20/4/2017 - 20:29:1,6,9,2,4,1897.000000,52.000000,485.000000,20/4/2017 - 20:28:51,6,5,4,3,20/4/2017 - 20:29:7
41,GOAP,131.654999,2378.000000,60.000000,922.000000,20/4/2017 - 20:31:23,16,31,8,34,4853.000000,66.000000,1155.000000,20/4/2017 - 20:31:11,6,20,17,27,20/4/2017 - 20:31:23
42,GOAP,51.000000,732.000000,30.000000,370.000000,20/4/2017 - 20:31:34,6,10,4,0,2063.000000,52.000000,500.000000,20/4/2017 - 20:31:52,6,5,6,0,20/4/2017 - 20:32:15
43,MCTS,72.419998,740.000000,30.000000,385.000000,20/4/2017 - 20:32:28,12,10,8,0,6349.000000,72.000000,512.000000,20/4/2017 - 20:33:29,6,12,8,0,20/4/2017 - 20:33:30
44,GOAP,89.167999,2443.000000,56.000000,1071.000000,20/4/2017 - 20:35:1,9,17,9,19,3723.000000,52.000000,1029.000000,20/4/2017 - 20:34:42,6,21,5,30,20/4/2017 - 20:35:1
45,MCTS,98.710999,1759.000000,50.000000,867.000000,20/4/2017 - 20:35:37,10,20,9,28,4348.000000,72.000000,1031.000000,20/4/2017 - 20:36:42,6,21,9,42,20/4/2017 - 20:36:43
46,GOAP,95.633003,7185.000000,62.000000,1015.000000,20/4/2017 - 20:38:21,7,21,8,17,1484.000000,42.000000,780.000000,20/4/2017 - 20:38:5,10,19,9,22,20/4/2017 - 20:38:21
47,GOAP,115.415001,4398.000000,54.000000,893.000000,20/4/2017 - 20:39:33,11,22,12,71,3729.000000,52.000000,962.000000,20/4/2017 - 20:40:8,11,20,11,9,20/4/2017 - 20:40:20
48,MCTS,33.755001,1280.000000,28.000000,421.000000,20/4/2017 - 20:40:37,11,4,0,13,1421.000000,66.000000,570.000000,20/4/2017 - 20:40:54,6,7,1,1,20/4/2017 - 20:40:54
49,MCTS,16.090000,727.000000,22.000000,370.000000,20/4/2017 - 20:41:5,6,1,1,0,1082.000000,32.000000,420.000000,20/4/2017 - 20:41:11,6,2,0,0,20/4/2017 - 20:41:11
50,MCTS,51.438999,1563.000000,38.000000,785.000000,20/4/2017 - 20:41:46,6,10,4,10,2479.000000,66.000000,903.000000,20/4/2017 - 20:42:4,6,10,4,18,20/4/2017 - 20:42:4
